acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
0.03,-1.01,0.06,-1.42,1.4,-1.07,197.45,-173.92,-749.09,6298280.0,gyro,
0.03,-1.01,0.06,-1.45,1.46,-1.04,202.74,-172.14,-730.27,6304014.0,gyro,
0.03,-1.0,0.06,-1.45,1.4,-0.98,202.74,-172.14,-730.27,6308324.0,gyro,
0.04,-1.01,0.05,-1.42,1.34,-1.08,211.55,-173.92,-731.98,10961749.0,gyro,
0.04,-1.01,0.05,-1.46,1.3,-1.07,199.21,-175.69,-737.11,10966692.0,gyro,
0.03,-1.01,0.05,-1.45,1.27,-1.17,199.21,-175.69,-737.11,10970564.0,gyro,
0.03,-1.01,0.06,-1.48,1.25,-1.11,209.79,-168.59,-733.69,10975507.0,gyro,
0.03,-1.01,0.06,-1.48,1.3,-1.05,209.79,-168.59,-733.69,10979375.0,gyro,
0.03,-1.0,0.05,-1.5,1.36,-1.01,222.13,-191.66,-735.4,10984312.0,gyro,
0.03,-1.0,0.06,-1.42,1.34,-1.02,222.13,-191.66,-735.4,10988195.0,gyro,
0.03,-1.01,0.06,-1.43,1.28,-1.04,209.79,-165.04,-737.11,10994499.0,gyro,
0.03,-1.01,0.06,-1.45,1.21,-0.95,209.79,-165.04,-737.11,10998362.0,gyro,
0.03,-1.01,0.06,-1.4,1.31,-0.99,206.27,-175.69,-740.53,11004226.0,gyro,
0.03,-1.01,0.06,-1.45,1.39,-0.99,206.27,-175.69,-740.53,11008107.0,gyro,
0.03,-1.01,0.06,-1.5,1.31,-1.07,209.79,-168.59,-740.53,11014400.0,gyro,
0.03,-1.01,0.06,-1.53,1.33,-1.11,209.79,-168.59,-740.53,11018277.0,gyro,
0.03,-1.01,0.06,-1.5,1.39,-1.07,216.84,-172.14,-733.69,11024136.0,gyro,
0.03,-1.01,0.06,-1.54,1.34,-1.02,216.84,-172.14,-733.69,11028009.0,gyro,
0.03,-1.01,0.06,-1.51,1.36,-1.01,197.45,-170.37,-735.4,11034297.0,gyro,
0.03,-1.01,0.06,-1.54,1.39,-1.04,197.45,-170.37,-735.4,11038179.0,gyro,
0.02,-1.01,0.06,-1.54,1.37,-1.02,216.84,-186.34,-726.85,11044033.0,gyro,
0.02,-1.01,0.06,-1.45,1.4,-1.05,216.84,-186.34,-726.85,11048343.0,gyro,
0.03,-1.01,0.06,-1.51,1.28,-1.07,223.9,-179.24,-733.69,11054224.0,gyro,
0.03,-1.01,0.06,-1.57,1.28,-1.13,223.9,-179.24,-733.69,11058106.0,gyro,
0.03,-1.01,0.06,-1.6,1.36,-1.08,208.03,-173.92,-731.98,11064424.0,gyro,
0.03,-1.01,0.06,-1.53,1.3,-1.04,208.03,-173.92,-731.98,11068316.0,gyro,
0.03,-1.0,0.06,-1.57,1.3,-1.02,202.74,-161.49,-733.69,11074173.0,gyro,
0.03,-1.01,0.06,-1.57,1.24,-1.05,202.74,-161.49,-733.69,11078059.0,gyro,
0.03,-1.01,0.06,-1.56,1.17,-1.1,206.27,-172.14,-750.8,11084367.0,gyro,
0.03,-1.01,0.06,-1.5,1.25,-1.1,206.27,-172.14,-750.8,11088258.0,gyro,
0.03,-1.01,0.05,-1.51,1.28,-1.08,200.98,-152.62,-728.56,11094129.0,gyro,
0.04,-1.0,0.05,-1.5,1.25,-1.11,200.98,-152.62,-728.56,11098022.0,gyro,
0.04,-1.01,0.05,-1.53,1.22,-1.08,215.08,-170.37,-742.24,11104349.0,gyro,
0.04,-1.01,0.05,-1.51,1.3,-1.08,215.08,-170.37,-742.24,11108239.0,gyro,
0.04,-1.01,0.05,-1.5,1.24,-1.01,211.55,-166.82,-742.24,11114104.0,gyro,
0.04,-1.01,0.05,-1.42,1.17,-0.99,211.55,-166.82,-742.24,11117997.0,gyro,
0.04,-1.01,0.05,-1.45,1.13,-1.05,209.79,-172.14,-730.27,11124313.0,gyro,
0.04,-1.01,0.05,-1.46,1.11,-1.01,209.79,-172.14,-730.27,11128210.0,gyro,
0.04,-1.01,0.05,-1.5,1.21,-1.05,204.5,-181.02,-745.67,11134073.0,gyro,
0.04,-1.01,0.05,-1.46,1.11,-1.04,204.5,-181.02,-745.67,11137954.0,gyro,
0.04,-1.01,0.05,-1.46,1.11,-1.08,209.79,-168.59,-740.53,11144266.0,gyro,
0.04,-1.01,0.05,-1.39,1.22,-1.1,209.79,-168.59,-740.53,11148155.0,gyro,
0.04,-1.01,0.05,-1.39,1.27,-1.08,220.37,-179.24,-737.11,11154021.0,gyro,
0.04,-1.01,0.05,-1.46,1.27,-1.16,220.37,-179.24,-737.11,11157911.0,gyro,
0.04,-1.01,0.05,-1.46,1.24,-1.19,206.27,-168.59,-750.8,11164251.0,gyro,
0.04,-1.01,0.05,-1.43,1.22,-1.1,206.27,-168.59,-750.8,11168149.0,gyro,
0.04,-1.01,0.06,-1.45,1.25,-1.08,215.08,-170.37,-738.82,11174028.0,gyro,
0.03,-1.01,0.06,-1.48,1.31,-1.02,215.08,-170.37,-738.82,11177911.0,gyro,
0.03,-1.01,0.06,-1.46,1.3,-1.08,218.61,-181.02,-731.98,11184245.0,gyro,
0.03,-1.01,0.06,-1.43,1.21,-1.07,218.61,-181.02,-731.98,11188131.0,gyro,
0.03,-1.01,0.06,-1.37,1.31,-1.11,200.98,-166.82,-745.67,11194001.0,gyro,
0.03,-1.0,0.06,-1.42,1.36,-1.02,200.98,-166.82,-745.67,11197874.0,gyro,
0.03,-1.01,0.06,-1.53,1.31,-1.04,202.74,-172.14,-737.11,11204196.0,gyro,
0.03,-1.01,0.06,-1.54,1.34,-1.1,202.74,-172.14,-737.11,11208087.0,gyro,
0.03,-1.01,0.06,-1.51,1.28,-1.1,208.03,-170.37,-735.4,11213950.0,gyro,
0.03,-1.01,0.06,-1.51,1.34,-1.13,208.03,-170.37,-735.4,11217832.0,gyro,
0.03,-1.01,0.06,-1.53,1.31,-1.07,215.08,-170.37,-735.4,11224151.0,gyro,
0.03,-1.01,0.06,-1.54,1.31,-1.04,215.08,-170.37,-735.4,11228031.0,gyro,
0.03,-1.01,0.06,-1.45,1.31,-0.99,200.98,-170.37,-738.82,11233885.0,gyro,
0.02,-1.01,0.06,-1.43,1.4,-1.01,200.98,-170.37,-738.82,11237773.0,gyro,
0.02,-1.01,0.06,-1.45,1.4,-0.99,218.61,-152.62,-728.56,11244078.0,gyro,
0.03,-1.01,0.06,-1.46,1.36,-1.04,218.61,-152.62,-728.56,11247971.0,gyro,
0.03,-1.01,0.06,-1.48,1.34,-1.05,218.61,-191.66,-738.82,11253825.0,gyro,
0.03,-1.01,0.06,-1.56,1.31,-1.14,218.61,-191.66,-738.82,11258171.0,gyro,
0.03,-1.01,0.06,-1.46,1.25,-1.07,206.27,-186.34,-747.38,11264031.0,gyro,
0.03,-1.01,0.06,-1.54,1.33,-1.07,206.27,-186.34,-747.38,11267921.0,gyro,
0.03,-1.01,0.06,-1.51,1.3,-1.02,218.61,-173.92,-749.09,11273782.0,gyro,
0.03,-1.01,0.06,-1.56,1.25,-1.07,218.61,-173.92,-749.09,11278122.0,gyro,
0.03,-1.01,0.05,-1.53,1.24,-1.16,204.5,-177.47,-731.98,11283985.0,gyro,
0.03,-1.01,0.05,-1.51,1.22,-1.11,204.5,-177.47,-731.98,11287864.0,gyro,
0.03,-1.01,0.05,-1.53,1.19,-1.08,199.21,-172.14,-737.11,11294188.0,gyro,
0.03,-1.01,0.05,-1.5,1.25,-1.07,199.21,-172.14,-737.11,11298079.0,gyro,
0.03,-1.01,0.05,-1.46,1.24,-1.07,208.03,-177.47,-731.98,11303933.0,gyro,
0.04,-1.01,0.05,-1.53,1.19,-1.07,208.03,-177.47,-731.98,11307818.0,gyro,
0.04,-1.01,0.05,-1.54,1.13,-1.17,218.61,-159.72,-738.82,11314144.0,gyro,
0.04,-1.01,0.05,-1.43,1.25,-1.1,218.61,-159.72,-738.82,11318027.0,gyro,
0.04,-1.01,0.05,-1.43,1.17,-1.04,209.79,-172.14,-737.11,11323875.0,gyro,
0.04,-1.01,0.05,-1.5,1.24,-1.02,209.79,-172.14,-737.11,11327761.0,gyro,
0.04,-1.01,0.05,-1.56,1.25,-1.1,216.84,-175.69,-737.11,11334072.0,gyro,
0.04,-1.01,0.05,-1.6,1.22,-1.13,216.84,-175.69,-737.11,11337967.0,gyro,
0.04,-1.01,0.05,-1.5,1.22,-1.13,202.74,-168.59,-743.95,11343817.0,gyro,
0.04,-1.01,0.05,-1.45,1.21,-1.19,202.74,-168.59,-743.95,11347698.0,gyro,
0.04,-1.01,0.05,-1.5,1.21,-1.13,208.03,-170.37,-745.67,11354028.0,gyro,
0.04,-1.01,0.05,-1.45,1.25,-1.1,208.03,-170.37,-745.67,11357923.0,gyro,
0.04,-1.01,0.05,-1.46,1.24,-1.05,213.32,-172.14,-743.95,11363778.0,gyro,
0.04,-1.01,0.05,-1.5,1.25,-1.05,213.32,-172.14,-743.95,11367660.0,gyro,
0.04,-1.01,0.05,-1.5,1.27,-1.01,215.08,-177.47,-735.4,11373972.0,gyro,
0.03,-1.01,0.06,-1.48,1.3,-1.07,215.08,-177.47,-735.4,11377844.0,gyro,
0.03,-1.01,0.06,-1.5,1.37,-1.16,200.98,-177.47,-749.09,11383707.0,gyro,
0.03,-1.01,0.06,-1.46,1.34,-1.14,200.98,-177.47,-749.09,11388046.0,gyro,
0.03,-1.01,0.06,-1.53,1.21,-1.02,199.21,-168.59,-743.95,11393896.0,gyro,
0.03,-1.01,0.06,-1.48,1.24,-0.99,199.21,-168.59,-743.95,11397777.0,gyro,
0.03,-1.01,0.06,-1.45,1.3,-1.08,211.55,-181.02,-735.4,11403630.0,gyro,
