acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,label
-0.98,-0.01,0.01,-1.48,1.54,-1.37,-61.7,519.98,-350.6,45947.0,x down
-0.98,-0.01,0.01,-1.46,1.5,-1.39,-51.13,512.88,-350.6,46051.0,x down
-0.98,-0.01,0.01,-1.4,1.51,-1.36,-72.28,527.08,-350.6,46157.0,x down
-0.98,-0.01,0.02,-1.42,1.42,-1.39,-75.81,523.53,-333.5,46261.0,x down
-0.98,-0.02,0.01,-1.43,1.45,-1.36,-68.76,523.53,-340.34,46367.0,x down
-0.98,-0.01,0.02,-1.43,1.51,-1.33,-75.81,534.18,-333.5,46471.0,x down
-0.98,-0.01,0.01,-1.45,1.53,-1.36,-66.99,532.4,-352.31,46577.0,x down
-0.98,-0.01,0.02,-1.45,1.48,-1.37,-68.76,530.63,-340.34,46681.0,x down
-0.98,-0.01,0.01,-1.43,1.57,-1.46,-58.18,516.43,-340.34,46786.0,x down
-0.98,-0.02,0.02,-1.37,1.48,-1.31,-52.89,528.85,-352.31,46891.0,x down
-0.98,-0.01,0.01,-1.45,1.53,-1.37,-59.94,521.75,-335.21,46996.0,x down
-0.98,-0.01,0.01,-1.45,1.48,-1.37,-72.28,519.98,-333.5,47100.0,x down
-0.98,-0.01,0.01,-1.42,1.54,-1.34,-72.28,523.53,-336.92,47206.0,x down
-0.98,-0.01,0.01,-1.36,1.39,-1.42,-63.47,518.2,-338.63,47310.0,x down
-0.98,-0.01,0.01,-1.4,1.6,-1.34,-70.52,511.1,-338.63,47416.0,x down
-0.98,-0.01,0.01,-1.36,1.51,-1.43,-63.47,521.75,-342.05,47520.0,x down
-0.98,-0.01,0.02,-1.48,1.42,-1.39,-72.28,516.43,-333.5,47625.0,x down
-0.98,-0.01,0.01,-1.39,1.56,-1.39,-63.47,521.75,-348.89,47731.0,x down
-0.98,-0.01,0.01,-1.46,1.56,-1.27,-82.86,527.08,-343.76,47834.0,x down
-0.98,-0.01,0.01,-1.4,1.5,-1.4,-61.7,541.27,-354.02,47940.0,x down
-0.98,-0.02,0.02,-1.4,1.43,-1.28,-75.81,523.53,-347.18,48044.0,x down
-0.98,-0.01,0.01,-1.45,1.48,-1.43,-75.81,527.08,-343.76,48150.0,x down
-0.98,-0.01,0.01,-1.42,1.5,-1.37,-89.91,523.53,-343.76,48254.0,x down
-0.98,-0.01,0.01,-1.43,1.48,-1.36,-65.23,519.98,-357.44,48360.0,x down
-0.98,-0.01,0.02,-1.43,1.46,-1.43,-65.23,523.53,-347.18,48464.0,x down
-0.98,-0.01,0.01,-1.4,1.46,-1.4,-68.76,519.98,-336.92,48570.0,x down
-0.98,-0.01,0.02,-1.5,1.4,-1.4,-66.99,532.4,-348.89,48673.0,x down
-0.98,-0.01,0.01,-1.33,1.53,-1.43,-65.23,527.08,-336.92,48779.0,x down
-0.98,-0.01,0.02,-1.37,1.53,-1.39,-61.7,527.08,-340.34,48883.0,x down
-0.98,-0.01,0.01,-1.4,1.45,-1.37,-65.23,527.08,-347.18,48989.0,x down
-0.98,-0.02,0.01,-1.36,1.53,-1.28,-61.7,512.88,-326.66,49094.0,x down
-0.98,-0.01,0.02,-1.39,1.39,-1.33,-65.23,527.08,-347.18,49198.0,x down
-0.98,-0.01,0.01,-1.48,1.5,-1.37,-75.81,519.98,-333.5,49304.0,x down
-0.98,-0.01,0.01,-1.31,1.48,-1.4,-68.76,519.98,-340.34,49408.0,x down
0.02,1.0,0.0,-1.57,1.43,-1.3,-352.59,-74.54,-345.47,67873.0,none
0.01,1.0,0.01,-1.45,1.51,-1.37,-371.98,-94.06,-333.5,67977.0,y up
0.01,1.0,0.0,-1.45,1.43,-1.42,-354.35,-97.61,-333.5,68083.0,y up
0.01,1.0,0.0,-1.37,1.46,-1.39,-354.35,-86.96,-343.76,68188.0,y up
0.01,1.0,0.0,-1.5,1.53,-1.34,-359.64,-81.63,-338.63,68292.0,y up
0.01,1.0,-0.0,-1.46,1.43,-1.5,-359.64,-92.28,-342.05,68397.0,y up
0.01,1.0,0.0,-1.51,1.48,-1.43,-347.3,-83.41,-333.5,68501.0,y up
0.01,1.0,0.0,-1.37,1.54,-1.33,-350.83,-83.41,-343.76,68607.0,y up
0.01,1.0,0.0,-1.48,1.46,-1.4,-354.35,-90.51,-340.34,68711.0,y up
0.01,1.0,0.0,-1.45,1.53,-1.39,-347.3,-90.51,-350.6,68817.0,y up
0.01,1.0,0.0,-1.43,1.53,-1.39,-370.22,-81.63,-342.05,68921.0,y up
0.01,1.0,0.0,-1.48,1.51,-1.4,-368.46,-90.51,-343.76,69027.0,y up
0.01,1.0,0.0,-1.45,1.54,-1.27,-354.35,-97.61,-350.6,69131.0,y up
0.01,1.0,-0.0,-1.4,1.6,-1.31,-357.88,-83.41,-350.6,69236.0,y up
0.01,1.0,0.0,-1.45,1.51,-1.4,-349.06,-81.63,-345.47,69340.0,y up
