acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
0.06,-0.13,-1.1,16.63,5.14,0.21,511.27,-29.24,800.38,11310864.0,gyro,
0.06,-0.13,-1.1,16.63,5.14,0.21,511.27,-29.24,800.38,11311804.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11313359.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11314301.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.21,511.27,-29.24,800.38,11315239.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.24,535.18,-23.76,798.62,11317092.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.24,535.18,-23.76,798.62,11318037.0,gyro,
0.06,-0.13,-1.1,16.77,5.11,0.18,535.18,-23.76,798.62,11319599.0,gyro,
0.06,-0.13,-1.1,16.77,5.11,0.18,535.18,-23.76,798.62,11320539.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11322091.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11323038.0,gyro,
0.06,-0.13,-1.1,16.78,5.19,0.17,535.18,-23.76,798.62,11323986.0,gyro,
0.06,-0.13,-1.1,16.85,5.14,0.18,511.27,-29.24,789.8,11325837.0,gyro,
0.06,-0.13,-1.1,16.85,5.14,0.18,511.27,-29.24,789.8,11326783.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11328325.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11329262.0,gyro,
0.06,-0.13,-1.1,16.85,5.16,0.18,511.27,-29.24,789.8,11330206.0,gyro,
0.06,-0.13,-1.1,16.78,5.14,0.14,511.27,-29.24,789.8,11331762.0,gyro,
0.06,-0.13,-1.1,16.78,5.14,0.14,511.27,-29.24,789.8,11332718.0,gyro,
0.06,-0.13,-1.1,16.72,5.17,0.17,524.14,-16.45,791.57,11334570.0,gyro,
0.06,-0.13,-1.1,16.72,5.17,0.17,524.14,-16.45,791.57,11335517.0,gyro,
0.06,-0.13,-1.1,16.74,5.2,0.21,524.14,-16.45,791.57,11337061.0,gyro,
0.06,-0.13,-1.1,16.74,5.2,0.21,524.14,-16.45,791.57,11338000.0,gyro,
0.06,-0.13,-1.1,16.74,5.2,0.21,524.14,-16.45,791.57,11338943.0,gyro,
0.06,-0.13,-1.1,16.68,5.23,0.23,524.14,-16.45,791.57,11340495.0,gyro,
0.06,-0.13,-1.1,16.68,5.23,0.23,524.14,-16.45,791.57,11341422.0,gyro,
0.06,-0.13,-1.1,16.68,5.23,0.23,524.14,-16.45,791.57,11342372.0,gyro,
0.06,-0.13,-1.1,16.69,5.2,0.17,522.3,-21.93,789.8,11344216.0,gyro,
0.06,-0.13,-1.1,16.69,5.2,0.17,522.3,-21.93,789.8,11345141.0,gyro,
0.06,-0.13,-1.1,16.63,5.13,0.23,522.3,-21.93,789.8,11346683.0,gyro,
0.06,-0.13,-1.1,16.63,5.13,0.23,522.3,-21.93,789.8,11347628.0,gyro,
0.06,-0.13,-1.1,16.62,5.11,0.17,522.3,-21.93,789.8,11349170.0,gyro,
0.06,-0.13,-1.1,16.62,5.11,0.17,522.3,-21.93,789.8,11350109.0,gyro,
0.06,-0.13,-1.1,16.62,5.11,0.17,522.3,-21.93,789.8,11351046.0,gyro,
0.06,-0.13,-1.1,16.57,5.13,0.11,522.3,-21.93,789.8,11352601.0,gyro,
0.06,-0.13,-1.1,16.57,5.13,0.11,522.3,-21.93,789.8,11353551.0,gyro,
0.06,-0.13,-1.1,16.56,5.08,0.12,496.56,-25.58,803.91,11355396.0,gyro,
0.06,-0.13,-1.1,16.56,5.08,0.12,496.56,-25.58,803.91,11356335.0,gyro,
0.06,-0.13,-1.1,16.56,5.08,0.12,496.56,-25.58,803.91,11357270.0,gyro,
0.06,-0.13,-1.1,16.59,5.14,0.14,496.56,-25.58,803.91,11358826.0,gyro,
0.06,-0.13,-1.1,16.59,5.14,0.14,496.56,-25.58,803.91,11359764.0,gyro,
0.06,-0.13,-1.1,16.68,5.19,0.14,496.56,-25.58,803.91,11361306.0,gyro,
0.06,-0.13,-1.1,16.68,5.19,0.14,496.56,-25.58,803.91,11362249.0,gyro,
0.06,-0.13,-1.1,16.68,5.19,0.14,496.56,-25.58,803.91,11363187.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.18,507.59,-29.24,786.28,11365035.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.18,507.59,-29.24,786.28,11365962.0,gyro,
0.06,-0.13,-1.1,16.71,5.17,0.2,507.59,-29.24,786.28,11367507.0,gyro,
0.06,-0.13,-1.1,16.71,5.17,0.2,507.59,-29.24,786.28,11368441.0,gyro,
0.06,-0.13,-1.1,16.71,5.17,0.2,507.59,-29.24,786.28,11369381.0,gyro,
0.06,-0.13,-1.1,16.72,5.17,0.15,507.59,-29.24,786.28,11370939.0,gyro,
0.06,-0.13,-1.1,16.72,5.17,0.15,507.59,-29.24,786.28,11371874.0,gyro,
0.06,-0.13,-1.1,16.69,5.22,0.18,507.59,-29.24,786.28,11373412.0,gyro,
0.06,-0.13,-1.1,16.69,5.22,0.18,507.59,-29.24,786.28,11374355.0,gyro,
0.06,-0.13,-1.1,16.69,5.22,0.18,507.59,-29.24,786.28,11375284.0,gyro,
0.06,-0.13,-1.1,16.68,5.17,0.15,518.62,-25.58,800.38,11377142.0,gyro,
0.06,-0.13,-1.1,16.68,5.17,0.15,518.62,-25.58,800.38,11378077.0,gyro,
0.06,-0.13,-1.1,16.78,5.1,0.17,518.62,-25.58,800.38,11379628.0,gyro,
0.06,-0.13,-1.1,16.78,5.1,0.17,518.62,-25.58,800.38,11380573.0,gyro,
0.06,-0.13,-1.1,16.77,5.1,0.29,518.62,-25.58,800.38,11382118.0,gyro,
0.06,-0.13,-1.1,16.77,5.1,0.29,518.62,-25.58,800.38,11383052.0,gyro,
0.06,-0.13,-1.1,16.77,5.1,0.29,518.62,-25.58,800.38,11383983.0,gyro,
0.06,-0.13,-1.1,16.82,5.13,0.29,500.23,-29.24,800.38,11385830.0,gyro,
0.06,-0.13,-1.1,16.82,5.13,0.29,500.23,-29.24,800.38,11386774.0,gyro,
0.06,-0.13,-1.1,16.8,5.17,0.27,500.23,-29.24,800.38,11388320.0,gyro,
0.06,-0.13,-1.1,16.8,5.17,0.27,500.23,-29.24,800.38,11389258.0,gyro,
0.06,-0.13,-1.1,16.8,5.17,0.27,500.23,-29.24,800.38,11390197.0,gyro,
0.06,-0.13,-1.1,16.8,5.19,0.27,500.23,-29.24,800.38,11391750.0,gyro,
0.06,-0.13,-1.1,16.8,5.19,0.27,500.23,-29.24,800.38,11392690.0,gyro,
0.06,-0.13,-1.1,16.77,5.19,0.26,527.82,-34.72,784.51,11394544.0,gyro,
0.06,-0.13,-1.1,16.77,5.19,0.26,527.82,-34.72,784.51,11395483.0,gyro,
0.06,-0.13,-1.1,16.8,5.11,0.23,527.82,-34.72,784.51,11397035.0,gyro,
